"","avg_wait","p95_wait","total_travel_time","reliability","idle_vehicle_share","environmental_efficiency"
"1",0.0280659023024425,0.0193947766109553,0.0526228487194957,0.123156111751583,0.0230266587409829,0.0486673731193386
"2",0.0143827098923998,0.0174550398972054,0.0326877366988945,0.123156111751584,0.384072845745711,0.0250720692762902
"3",0.0179341429909632,0.0174550398972054,0.0348231877529807,0.123156111751583,0.107890496374327,0.0345458081225333
"4",0.0520878124092418,0.0234525688997536,0.0836438075640348,0.123156111751583,0.0104221454408308,0.0880487581653815
"5",0.068371957716174,0.0336367895774622,0.0953179914102339,0.123156111751583,0.00806303856178783,0.0986772281760613
"6",0.120545000319944,0.0991293001162602,0.0953179914102339,0.0442409384863157,0.0329342859086108,0.126229189738772
"7",0.0280659023024425,0.0193947766109553,0.0526228487194956,0.123156111751583,0.0230266587409829,0.0486673731193386
"8",0.0179341429909632,0.0174550398972054,0.0348231877529807,0.123156111751583,0.107890496374327,0.0345458081225333
"9",0.0448739132097129,0.0991293001162602,0.0893087012186678,0.0442409384863157,0.173331821039406,0.0250720692762902
"10",0.0837305491176473,0.0991293001162602,0.0738805186331833,0.0253001412918888,0.0833745634090984,0.0841437601325144
"11",0.230244803631811,0.277184034130238,0.148293765999909,0.00998346752762067,0.0329342859086108,0.175077161527645
"12",0.293763163116258,0.277184034130238,0.20665741411989,0.0141417319467753,0.0130327037553242,0.211253401223302
