"","S0","S1","S2","S3","S4","S5","S6","C1","C2","C3","C4","C5"
"S0",1,3,2,0.3333,0.3333,0.3333,1,2,3,0.3333,0.25,0.25
"S1",0.3333,1,0.5,0.3333,0.25,0.25,0.3333,0.5,1,0.3333,0.25,0.2
"S2",0.5,2,1,0.3333,0.3333,0.25,0.5,1,2,0.3333,0.25,0.25
"S3",3,3,3,1,1,0.5,3,3,3,1,0.3333,0.3333
"S4",3,4,3,1,1,0.5,3,3,4,2,0.3333,0.3333
"S5",3,4,4,2,2,1,3,4,4,2,0.5,0.3333
"S6",1,3,2,0.3333,0.3333,0.3333,1,2,3,0.3333,0.25,0.25
"C1",0.5,2,1,0.3333,0.3333,0.25,0.5,1,2,0.3333,0.25,0.25
"C2",0.3333,1,0.5,0.3333,0.25,0.25,0.3333,0.5,1,0.3333,0.25,0.2
"C3",3,3,3,1,0.5,0.5,3,3,3,1,0.3333,0.3333
"C4",4,4,4,3,3,2,4,4,4,3,1,0.5
"C5",4,5,4,3,3,3,4,4,5,3,2,1
