"Set","experimentGroup","vehiclesFile","fleetSize","capacity","maxWaitTime_s","targetAlpha","targetBeta","avgWait_min","p95Wait_min","totalTravelTime_min","rejections","minShareIdleVehicles","dp_dt","feasibleByRejection","raw_AHP_score","AHP_score","rank"
"S5","Original S0-S6","drt-vehicles/fleet-size-300.xml",300,8,900,0.5,0.5,7.5105,14.5333333333333,22.3413333333333,1,0.41,2.36,TRUE,0.0865018140060349,0.0865018140060349,1
"S4","Original S0-S6","drt-vehicles/fleet-size-400.xml",400,8,1200,0.5,0.5,7.99516666666667,18.1666666666667,22.2901666666667,0,0.57,2.33,TRUE,0.0750947878268711,0.0750947878268711,2
"S1","Original S0-S6","drt-vehicles/fleet-size-200.xml",200,8,1200,0.5,0.5,9.169,18.8166666666667,23.324,0,0.1,2.15,TRUE,0.0745848494477726,0.0745848494477726,3
"C2","Capacity/wait C1-C5","drt-vehicles/fleet-size-250-capacity-4-Cexp.xml",250,4,900,0.5,0.5,8.241,14.5833333333333,22.4308333333333,1,0.27,2.15,TRUE,0.0735453433268033,0.0735453433268033,4
"S3","Original S0-S6","drt-vehicles/fleet-size-350.xml",350,8,1200,0.5,0.5,8.14816666666667,18.4833333333333,22.4631666666667,0,0.52,2.31,TRUE,0.0668643273369118,0.0668643273369118,5
"S2","Original S0-S6","drt-vehicles/fleet-size-250.xml",250,8,1200,0.5,0.5,8.94966666666667,18.7833333333333,23.1285,0,0.29,2.19,TRUE,0.0543001193941277,0.0543001193941277,6
"C1","Capacity/wait C1-C5","drt-vehicles/fleet-size-250.xml",250,8,1200,0.5,0.5,8.94966666666667,18.7833333333333,23.1285,0,0.29,2.19,TRUE,0.0543001193941277,0.0543001193941277,6
"S6","Original S0-S6","drt-vehicles/fleet-size-300.xml",300,8,1200,0.8,0.8,8.67633333333333,18.6666666666667,22.8961666666667,0,0.43,2.23,TRUE,0.0539805720114428,0.0539805720114428,8
"S0","Original S0-S6","drt-vehicles/fleet-size-300.xml",300,8,1200,0.5,0.5,8.67633333333333,18.6666666666667,22.8961666666667,0,0.43,2.23,TRUE,0.0539805720114428,0.0539805720114428,9
"C3","Capacity/wait C1-C5","drt-vehicles/fleet-size-250-capacity-12-Cexp.xml",250,12,900,0.5,0.5,7.80266666666667,14.5833333333333,22.6393333333333,2,0.31,2.3,FALSE,0.0718315246261236,0,10
"C4","Capacity/wait C1-C5","drt-vehicles/fleet-size-300.xml",300,8,700,0.5,0.5,6.53933333333333,11.3833333333333,21.8253333333333,5,0.41,2.43,FALSE,0.155337079479134,0,10
"C5","Capacity/wait C1-C5","drt-vehicles/fleet-size-350-capacity-12-Cexp.xml",350,12,700,0.5,0.5,6.26083333333333,11.35,21.4623333333333,4,0.5,2.47,FALSE,0.179678891139207,0,10
