"Set","vehiclesFile","fleetSize","capacity","maxWaitTime_s","targetAlpha","targetBeta","rides","avgWait_s","medianWait_s","p95Wait_s","totalTravelTime_s","rejections","rejectionRate","minShareIdleVehicles","dp_dt","experimentGroup","avgWait_min_exact","p95Wait_min_exact","totalTravelTime_min_exact"
"S0","drt-vehicles/fleet-size-300.xml",300,8,1200,0.5,0.5,10000,520.58,466,1120,1373.77,0,0,0.43,2.23,"Original S0-S6",8.67633333333333,18.6666666666667,22.8961666666667
"S1","drt-vehicles/fleet-size-200.xml",200,8,1200,0.5,0.5,10000,550.14,508,1129,1399.44,0,0,0.1,2.15,"Original S0-S6",9.169,18.8166666666667,23.324
"S2","drt-vehicles/fleet-size-250.xml",250,8,1200,0.5,0.5,10000,536.98,487,1127,1387.71,0,0,0.29,2.19,"Original S0-S6",8.94966666666667,18.7833333333333,23.1285
"S3","drt-vehicles/fleet-size-350.xml",350,8,1200,0.5,0.5,10000,488.89,425,1109,1347.79,0,0,0.52,2.31,"Original S0-S6",8.14816666666667,18.4833333333333,22.4631666666667
"S4","drt-vehicles/fleet-size-400.xml",400,8,1200,0.5,0.5,10000,479.71,412,1090,1337.41,0,0,0.57,2.33,"Original S0-S6",7.99516666666667,18.1666666666667,22.2901666666667
"S5","drt-vehicles/fleet-size-300.xml",300,8,900,0.5,0.5,9998,450.63,423,872,1340.48,1,0,0.41,2.36,"Original S0-S6",7.5105,14.5333333333333,22.3413333333333
"S6","drt-vehicles/fleet-size-300.xml",300,8,1200,0.8,0.8,10000,520.58,466,1120,1373.77,0,0,0.43,2.23,"Original S0-S6",8.67633333333333,18.6666666666667,22.8961666666667
"C1","drt-vehicles/fleet-size-250.xml",250,8,1200,0.5,0.5,10000,536.98,487,1127,1387.71,0,0,0.29,2.19,"Capacity/wait C1-C5",8.94966666666667,18.7833333333333,23.1285
"C2","drt-vehicles/fleet-size-250-capacity-4-Cexp.xml",250,4,900,0.5,0.5,9998,494.46,497,875,1345.85,1,0,0.27,2.15,"Capacity/wait C1-C5",8.241,14.5833333333333,22.4308333333333
"C3","drt-vehicles/fleet-size-250-capacity-12-Cexp.xml",250,12,900,0.5,0.5,9996,468.16,451,875,1358.36,2,0,0.31,2.3,"Capacity/wait C1-C5",7.80266666666667,14.5833333333333,22.6393333333333
"C4","drt-vehicles/fleet-size-300.xml",300,8,700,0.5,0.5,9990,392.36,398,683,1309.52,5,0,0.41,2.43,"Capacity/wait C1-C5",6.53933333333333,11.3833333333333,21.8253333333333
"C5","drt-vehicles/fleet-size-350-capacity-12-Cexp.xml",350,12,700,0.5,0.5,9992,375.65,371,681,1287.74,4,0,0.5,2.47,"Capacity/wait C1-C5",6.26083333333333,11.35,21.4623333333333
